"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"130209","occ","","","10755","n. gen. Chaoyangosaurus n. sp. liaosiensis","species","65704","replaced by","Chaoyangsaurus youngi","species","55580","Late Tithonian","Valanginian","150.8","132.9","13360","123.966698","42.933300"
"130294","occ","","","10764","n. gen. Protarchaeopteryx n. sp. robusta","species","66068","","Protarchaeopteryx robusta","species","66068","Late Barremian","Early Aptian","130","122.46","4006","120.733330","41.799999"
"130295","occ","","","10764","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","Late Barremian","Early Aptian","130","122.46","19421","120.733330","41.799999"
"139242","occ","24752","","11890","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","13165","-111.528732","50.740726"
"139249","occ","","","11892","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","16964","-111.461914","50.753296"
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205","-111.549347","50.737015"
"139251","occ","","","11894","Centrosaurus apertus","species","63911","","Centrosaurus apertus","species","63911","Late Campanian","","83.5","70.6","16964","-111.528931","50.737297"
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205","-111.564636","50.723866"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205","-111.525337","50.740471"
"139254","occ","13634","","11897","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","17547","-111.601021","50.786999"
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Late Maastrichtian","","70.6","66","9259","-112.981903","51.804600"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","4205","-112.981903","51.819099"
"139257","occ","","","11900","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","12347","-112.818901","51.542702"
"139258","occ","18014","","11901","n. gen. Albertosaurus n. sp. sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","9259","-112.842300","51.469898"
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","4205","-112.702202","51.440800"
"139260","occ","23238","","11604","Titanosaurus n. sp. colberti","species","64311","recombined as","Isisaurus colberti","species","64311","Maastrichtian","","72.1","66","4177","80.366669","21.183332"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","Late Campanian","","83.5","70.6","4205","-110.681999","49.083698"
"139290","occ","23303","","11915","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","Middle Campanian","","83.5","70.6","4205","-111.485008","50.751526"
"139291","occ","38040","","11916","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","76179","-112.934799","51.928299"
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","4218","-113.028900","51.906399"
"139293","occ","","","11918","cf. Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Late Maastrichtian","","70.6","66","4205","-113.233330","51.933334"
"139294","occ","32334","","11919","Gryposaurus cf. notabilis","species","63251","","Gryposaurus notabilis","species","63251","Late Campanian","","83.5","70.6","59147","-111.529999","50.770000"
"139306","occ","","","11923","n. gen. Amygdalodon n. sp. patagonicus","species","66447","","Amygdalodon patagonicus","species","66447","Pliensbachian","Early Toarcian","190.8","182","4208","-69.516670","-43.966667"
"139307","occ","34164","","11924","Camarasaurus grandis","species","67181","","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","157.3","145","63746","-108.699989","39.068802"
"139308","occ","","","11925","Camarasaurus supremus","species","54168","","Camarasaurus supremus","species","54168","Kimmeridgian","","157.3","152.1","4209","-108.717499","39.111668"
"139340","occ","","","11931","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","Maastrichtian","","72.1","66","4210","-106.569901","47.637699"
"144305","occ","38682","","10760","cf. Saurornitholestes sp.","genus","38567","","Saurornitholestes","genus","38567","Early Maastrichtian","","70.6","66","77788","22.915800","45.547501"
"144307","occ","22890","","12584","Bistahieversor sealeyi","species","163808","","Bistahieversor sealeyi","species","163808","Late Campanian","","83.5","70.6","32137","-107.966393","36.060280"
"146081","occ","38238","","12855","Abelisauridae indet.","family","53942","","Abelisauridae","family","53942","Maastrichtian","","72.1","66","76372","-65.940002","-17.687000"
"147092","occ","","","12977","n. gen. Stenotholus n. sp. kohleri","species","53215","subjective synonym of","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","4306","-106.227776","47.695831"
"147093","occ","","","12977","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Maastrichtian","","72.1","66","4306","-106.227776","47.695831"
"148500","occ","13664","","13105","n. gen. Sonorasaurus n. sp. thompsoni","species","68170","","Sonorasaurus thompsoni","species","68170","Late Albian","Early Cenomanian","105.3","93.5","14864","-110.418053","31.811390"
"148510","occ","34088","","13106","Vegaviidae indet.","unranked clade","361851","","Vegaviidae","unranked clade","361851","Late Maastrichtian","","70.6","66","63548","-56.750000","-64.283333"
"148628","occ","","","13108","Mononykus olecranus","species","67288","","Mononykus olecranus","species","67287","Maastrichtian","","72.1","66","4373","99.599998","43.540001"
"148629","occ","","","13108","Tarbosaurus bataar","species","57254","","Tarbosaurus bataar","species","63705","Maastrichtian","","72.1","66","4373","99.599998","43.540001"
"149328","occ","","","13142","Coeluridae ? indet.","family","53001","","Coeluridae","family","53001","Maastrichtian","","72.1","66","4381","-106.099998","47.799999"
"149592","occ","","","13212","n. gen. Creosaurus n. sp. atrox","species","52970","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","7813","-106.041000","41.893101"
"149596","occ","","","13214","Creosaurus atrox","species","52970","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149597","occ","","","13214","Allosaurus fragilis","species","52962","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149598","occ","","","13214","Diplodocus sp.","genus","38669","","Diplodocus","genus","38669","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149599","occ","","","13214","Stegosaurus sp.","genus","38814","","Stegosaurus","genus","38814","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149600","occ","","","13214","Morosaurus grandis","species","64505","recombined as","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","157.3","145","52556","-106.389999","42.035831"
"149601","occ","","","13214","Antrodemus valens","species","64031","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149835","occ","","","13264","Ornimegalonyx oteroi","species","290147","","Ornimegalonyx oteroi","species","290147","Pleistocene","","2.588","0.0117","4396","-83.666664","22.583332"
"149860","occ","","","13268","Hypsilophodon sp.","genus","38736","","Hypsilophodon","genus","38736","Late Barremian","Early Aptian","130","122.46","4398","-1.468000","50.654499"
"149981","occ","","","13279","n. gen. Scutellosaurus n. sp. lawleri","species","67088","","Scutellosaurus lawleri","species","67088","Sinemurian","Pliensbachian","199.3","182.7","4405","-111.027779","35.679169"
