"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"130294","occ","","","10764","n. gen. Protarchaeopteryx n. sp. robusta","species","66068","","Protarchaeopteryx robusta","species","66068","Late Barremian","Early Aptian","130","122.46","4006","120.733330","41.799999"
"130295","occ","","","10764","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","Late Barremian","Early Aptian","130","122.46","19421","120.733330","41.799999"
"139242","occ","24752","","11890","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","13165","-111.528732","50.740726"
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205","-111.549347","50.737015"
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205","-111.564636","50.723866"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205","-111.525337","50.740471"
"139254","occ","13634","","11897","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","17547","-111.601021","50.786999"
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Late Maastrichtian","","70.6","66","9259","-112.981903","51.804600"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","4205","-112.981903","51.819099"
"139257","occ","","","11900","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","12347","-112.818901","51.542702"
"139258","occ","18014","","11901","n. gen. Albertosaurus n. sp. sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","9259","-112.842300","51.469898"
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","4205","-112.702202","51.440800"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","Late Campanian","","83.5","70.6","4205","-110.681999","49.083698"
"139290","occ","23303","","11915","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","Middle Campanian","","83.5","70.6","4205","-111.485008","50.751526"
"139291","occ","38040","","11916","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","76179","-112.934799","51.928299"
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","4218","-113.028900","51.906399"
"139293","occ","","","11918","cf. Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Late Maastrichtian","","70.6","66","4205","-113.233330","51.933334"
"144305","occ","38682","","10760","cf. Saurornitholestes sp.","genus","38567","","Saurornitholestes","genus","38567","Early Maastrichtian","","70.6","66","77788","22.915800","45.547501"
"144307","occ","22890","","12584","Bistahieversor sealeyi","species","163808","","Bistahieversor sealeyi","species","163808","Late Campanian","","83.5","70.6","32137","-107.966393","36.060280"
"146081","occ","38238","","12855","Abelisauridae indet.","family","53942","","Abelisauridae","family","53942","Maastrichtian","","72.1","66","76372","-65.940002","-17.687000"
"148510","occ","34088","","13106","Vegaviidae indet.","unranked clade","361851","","Vegaviidae","unranked clade","361851","Late Maastrichtian","","70.6","66","63548","-56.750000","-64.283333"
"148628","occ","","","13108","Mononykus olecranus","species","67288","","Mononykus olecranus","species","67287","Maastrichtian","","72.1","66","4373","99.599998","43.540001"
"148629","occ","","","13108","Tarbosaurus bataar","species","57254","","Tarbosaurus bataar","species","63705","Maastrichtian","","72.1","66","4373","99.599998","43.540001"
"149328","occ","","","13142","Coeluridae ? indet.","family","53001","","Coeluridae","family","53001","Maastrichtian","","72.1","66","4381","-106.099998","47.799999"
"149592","occ","","","13212","n. gen. Creosaurus n. sp. atrox","species","52970","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","7813","-106.041000","41.893101"
"149596","occ","","","13214","Creosaurus atrox","species","52970","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149597","occ","","","13214","Allosaurus fragilis","species","52962","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149601","occ","","","13214","Antrodemus valens","species","64031","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149835","occ","","","13264","Ornimegalonyx oteroi","species","290147","","Ornimegalonyx oteroi","species","290147","Pleistocene","","2.588","0.0117","4396","-83.666664","22.583332"
"150093","occ","","","18597","Phalacrocorax n. sp. subvolans","species","53350","recombined as","Anhinga subvolans","species","53350","Hemingfordian","","20.43","15.97","4414","-82.599998","29.700001"
"150094","occ","","","18597","Proictinia n. sp. floridana","species","53301","recombined as","Promilio floridanus","species","53301","Hemingfordian","","20.43","15.97","4414","-82.599998","29.700001"
"150133","occ","","","13296","Buteo n. sp. fluviaticus","species","100015","","Buteo fluviaticus","species","100015","Orellan","","33.9","33.3","4415","-104.866669","40.900002"
"150134","occ","","","13297","n. gen. Hadrogyps n. sp. aigialeus","species","53351","","Hadrogyps aigialeus","species","53351","Langhian","","15.97","13.82","4416","-118.500000","35.299999"
"150135","occ","","","13298","n. gen. Primapus n. sp. lacki","species","53337","","Primapus lacki","species","53337","Ypresian","","56","47.8","4417","-0.683333","50.783333"
"150136","occ","","","13299","Primapus lacki","species","53337","","Primapus lacki","species","53337","Ypresian","","56","47.8","4417","0.833333","51.400002"
"150137","occ","","","13300","Praemancalla n. sp. wetmorei","species","145757","recombined as","Miomancalla wetmorei","species","145757","Tortonian","Messinian","11.62","5.333","4418","-117.712219","33.561943"
"150138","occ","","","13301","Ichthyornis cf. dispar","species","54877","","Ichthyornis dispar","species","54877","Early Coniacian","Early Campanian","89.3","70.6","4419","-101.000000","39.000000"
"150139","occ","","","13301","Hesperornis sp.","genus","36620","","Hesperornis","genus","36620","Early Coniacian","Early Campanian","89.3","70.6","4419","-101.000000","39.000000"
"150155","occ","","","13309","n. gen. Neogaeornis n. sp. wetzeli","species","53321","","Neogaeornis wetzeli","species","53321","Late Maastrichtian","","70.6","66","6052","-73.116669","-36.716667"
