"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"139260","occ","23238","","11604","Titanosaurus n. sp. colberti","species","64311","recombined as","Isisaurus colberti","species","64311","Maastrichtian","","72.1","66","4177","80.366669","21.183332"
"139306","occ","","","11923","n. gen. Amygdalodon n. sp. patagonicus","species","66447","","Amygdalodon patagonicus","species","66447","Pliensbachian","Early Toarcian","190.8","182","4208","-69.516670","-43.966667"
"139307","occ","34164","","11924","Camarasaurus grandis","species","67181","","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","157.3","145","63746","-108.699989","39.068802"
"139308","occ","","","11925","Camarasaurus supremus","species","54168","","Camarasaurus supremus","species","54168","Kimmeridgian","","157.3","152.1","4209","-108.717499","39.111668"
"148500","occ","13664","","13105","n. gen. Sonorasaurus n. sp. thompsoni","species","68170","","Sonorasaurus thompsoni","species","68170","Late Albian","Early Cenomanian","105.3","93.5","14864","-110.418053","31.811390"
"149598","occ","","","13214","Diplodocus sp.","genus","38669","","Diplodocus","genus","38669","Kimmeridgian","Tithonian","157.3","145","4387","-106.389999","42.035831"
"149600","occ","","","13214","Morosaurus grandis","species","64505","recombined as","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","157.3","145","52556","-106.389999","42.035831"
"149988","occ","19972","","13285","Efraasia minor","species","91403","","Efraasia minor","species","54997","Norian","","228","208.5","19481","8.978333","49.023609"
"150174","occ","26032","","13326","Massospondylus carinatus","species","56595","","Massospondylus carinatus","species","56595","Hettangian","Sinemurian","201.3","190.8","38488","28.623056","-28.509443"
"150175","occ","","","13326","Massospondylus sp.","genus","38642","","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","4425","28.623056","-28.509443"
"150238","occ","","IF","13331","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","36723","1.078398","42.113537"
"150239","occ","","","13332","Titanosauridae indet.","family","38680","","Titanosauridae","family","38680","Maastrichtian","","72.1","66","5968","6.300000","43.583332"
"150240","occ","15707","","13333","n. gen. Amargasaurus n. sp. cazaui","species","53962","","Amargasaurus cazaui","species","53962","Barremian","","129.4","125","5970","-70.194786","-39.481979"
"150311","occ","","","13341","Apatosaurus n. sp. laticollis","species","52974","subjective synonym of","Apatosaurus louisae","species","57752","Kimmeridgian","Tithonian","157.3","145","5981","-105.187332","39.653423"
"150350","occ","","","13352","Diplodocus carnegii","species","65917","","Diplodocus carnegii","species","65917","Kimmeridgian","Tithonian","157.3","145","1808","-105.916199","42.152302"
"150351","occ","28458","","13352","Apatosaurus excelsus","species","56547","recombined as","Brontosaurus excelsus","species","52982","Kimmeridgian","Tithonian","157.3","145","46207","-105.916199","42.152302"
"150354","occ","","","13352","Morosaurus sp.","genus","52968","subjective synonym of","Camarasaurus","genus","38697","Kimmeridgian","Tithonian","157.3","145","1808","-105.916199","42.152302"
"219923","occ","","F","22637","Megaloolithus patagonicus","species","81783","subjective synonym of","Megaloolithus jabalpurensis","species","81782","Early Campanian","Middle Campanian","83.5","70.6","24402","-68.516670","-37.883331"
"219971","occ","","","22648","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","Kimmeridgian","Tithonian","157.3","145","13100","-106.048615","42.017776"
"219972","occ","12456","","22648","Morosaurus sp.","genus","52968","subjective synonym of","Camarasaurus","genus","38697","Kimmeridgian","Tithonian","157.3","145","13100","-106.048615","42.017776"
"219974","occ","12665","","22648","Apatosaurus excelsus","species","56547","recombined as","Brontosaurus excelsus","species","52982","Kimmeridgian","Tithonian","157.3","145","13281","-106.048615","42.017776"
"219978","occ","15652","","22650","Diplodocidae indet.","unranked clade","38664","","Diplodocidae","unranked clade","38664","Late Kimmeridgian","","155.7","150.8","15179","-108.120003","43.380001"
"219979","occ","31060","","22650","Apatosaurinae indet. informal","unranked clade","319101","","Apatosaurinae","unranked clade","66543","Late Kimmeridgian","","155.7","150.8","55026","-108.120003","43.380001"
"219980","occ","18816","","22650","Camarasaurus lentus","species","71837","","Camarasaurus lentus","species","63764","Late Kimmeridgian","","155.7","150.8","19566","-108.120003","43.380001"
"220038","occ","13231","","22665","Kotasaurus yamanpalliensis","species","66498","","Kotasaurus yamanpalliensis","species","66498","Sinemurian","Pliensbachian","199.3","182.7","43786","79.845581","19.106924"
"220055","occ","","","22678","Diplodocus sp.","genus","38669","","Diplodocus","genus","38669","Late Kimmeridgian","Tithonian","155.7","145","5760","-108.199997","43.630001"
"220056","occ","29729","","22678","Camarasaurus sp.","genus","38697","","Camarasaurus","genus","38697","Late Kimmeridgian","Tithonian","155.7","145","5760","-108.199997","43.630001"
"220060","occ","","","22678","Barosaurus sp.","genus","38666","","Barosaurus","genus","38666","Late Kimmeridgian","Tithonian","155.7","145","5760","-108.199997","43.630001"
"220070","occ","37935","","22680","Plateosaurus trossingensis","species","64679","subjective synonym of","Plateosaurus longiceps","species","64684","Norian","","228","208.5","75731","8.016667","47.500000"
"220082","occ","","","22683","Plateosaurus n. sp. trossingensis","species","64679","subjective synonym of","Plateosaurus longiceps","species","64684","Norian","","228","208.5","26308","8.650000","48.066669"
"220163","occ","","","22711","Diplodocus sp.","genus","38669","","Diplodocus","genus","38669","Kimmeridgian","Tithonian","157.3","145","15179","-109.205833","40.423611"
"220201","occ","","","22717","Diplodocidae indet.","unranked clade","38664","","Diplodocidae","unranked clade","38664","Kimmeridgian","Tithonian","157.3","145","9727","-107.132790","35.197208"
"225582","occ","30574","","21852","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","Early Tithonian","","150.8","145","14579","-109.300552","40.441387"
"225583","occ","","","21852","Apatosaurus sp.","genus","38665","","Apatosaurus","genus","38665","Early Tithonian","","150.8","145","15567","-109.300552","40.441387"
"225584","occ","13532","","21852","Camarasaurus lentus","species","71837","","Camarasaurus lentus","species","63764","Early Tithonian","","150.8","145","14579","-109.300552","40.441387"
"247238","occ","","","24178","n. gen. Sauroposeidon n. sp. proteles","species","66617","","Sauroposeidon proteles","species","66617","Aptian","Albian","125","100.5","6837","-96.099998","34.400002"
"256216","occ","","","24864","n. gen. Mamenchisaurus n. sp. constructus","species","56460","","Mamenchisaurus constructus","species","56460","Kimmeridgian","Tithonian","157.3","145","24276","104.516701","28.700001"
"256434","occ","","","24877","n. gen. Eoraptor n. sp. lunensis","species","57454","","Eoraptor lunensis","species","57454","Carnian","","237","228","6971","-68.904999","-31.101110"
"256680","occ","","","24905","Pelorosaurus n. sp. becklesii","species","67039","recombined as","Haestasaurus becklesii","species","67039","Late Berriasian","Valanginian","145","132.9","44406","0.600000","50.849998"
"259971","occ","","","25125","Yunnanosaurus sp.","genus","56630","","Yunnanosaurus","genus","56630","Hettangian","Sinemurian","201.3","190.8","7052","102.591942","24.671667"
"260015","occ","","","25132","Rebbachisaurus tamesnensis","species","63792","nomen dubium","Rebbachisauridae","unranked clade","57365","Early Berriasian","Late Valanginian","145","136.4","7056","7.935677","16.635183"
"260016","occ","","","25133","Rebbachisaurus tamesnensis","species","63792","nomen dubium","Rebbachisauridae","unranked clade","57365","Early Berriasian","Late Valanginian","145","136.4","7056","7.988729","16.813019"
"260023","occ","","","25137","Rebbachisaurus tamesnensis","species","63792","nomen dubium","Rebbachisauridae","unranked clade","57365","Early Berriasian","Late Albian","145","99.6","7056","9.566667","28.500000"
"260026","occ","","","25139","Rebbachisaurus tamesnensis","species","63792","nomen dubium","Rebbachisauridae","unranked clade","57365","Early Berriasian","Late Albian","145","99.6","7056","1.083333","27.033333"
"260030","occ","","","25142","Rebbachisaurus tamesnensis","species","63792","nomen dubium","Rebbachisauridae","unranked clade","57365","Early Berriasian","Late Albian","145","99.6","7056","0.416667","26.766666"
"260031","occ","","","25143","Rebbachisaurus tamesnensis","species","63792","nomen dubium","Rebbachisauridae","unranked clade","57365","Early Berriasian","Late Albian","145","99.6","7056","0.816667","26.766666"
"260590","occ","","","25192","Rebbachisaurus tamesnensis","species","63792","nomen dubium","Rebbachisauridae","unranked clade","57365","Early Albian","Early Cenomanian","112.03","93.5","7056","8.175278","28.150000"
"260592","occ","","","25193","Rebbachisaurus tamesnensis","species","63792","nomen dubium","Rebbachisauridae","unranked clade","57365","Early Berriasian","Late Valanginian","145","136.4","7056","8.011679","16.464561"
